timestamp,search_type,split,model,config_id,fold,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,scam_recall,nonscam_recall,before_smote,after_smote,time_sec
2026-06-08 07:53:00,random_search,80/10/10,RandomForest,8,2,0.9658,0.9658,0.9658,0.9658,0.9659,0.9651,0.9655,0.9578,0.9725,"{""0"": 30905, ""1"": 25429}","{""0"": 30905, ""1"": 30905}",122.8
2026-06-08 07:55:16,random_search,80/10/10,RandomForest,8,3,0.962,0.962,0.962,0.962,0.9618,0.9615,0.9617,0.956,0.9671,"{""1"": 25430, ""0"": 30904}","{""1"": 30904, ""0"": 30904}",135.17
2026-06-08 08:08:46,random_search,80/10/10,SVM,1,1,0.9228,0.9232,0.9228,0.9229,0.9215,0.9232,0.9223,0.9276,0.9188,"{""1"": 25429, ""0"": 30905}","{""1"": 30905, ""0"": 30905}",636.7
2026-06-08 08:18:58,random_search,80/10/10,SVM,1,2,0.9279,0.9286,0.9279,0.928,0.9266,0.9288,0.9274,0.9376,0.9199,"{""0"": 30905, ""1"": 25429}","{""0"": 30905, ""1"": 30905}",611.83
2026-06-08 08:28:33,random_search,80/10/10,SVM,1,3,0.9253,0.9258,0.9253,0.9254,0.924,0.9259,0.9248,0.9316,0.9201,"{""1"": 25430, ""0"": 30904}","{""1"": 30904, ""0"": 30904}",575.43
2026-06-08 08:59:59,random_search,80/10/10,SVM,2,1,0.9377,0.9379,0.9377,0.9378,0.9367,0.9378,0.9372,0.939,0.9367,"{""1"": 25429, ""0"": 30905}","{""1"": 30905, ""0"": 30905}",894.77
2026-06-08 09:13:22,random_search,80/10/10,SVM,2,2,0.942,0.9422,0.942,0.9421,0.941,0.9422,0.9415,0.9436,0.9407,"{""0"": 30905, ""1"": 25429}","{""0"": 30905, ""1"": 30905}",802.87
2026-06-08 09:24:48,random_search,80/10/10,SVM,2,3,0.9407,0.9409,0.9407,0.9407,0.9396,0.9409,0.9402,0.9431,0.9387,"{""1"": 25430, ""0"": 30904}","{""1"": 30904, ""0"": 30904}",685.91
2026-06-08 09:55:43,random_search,80/10/10,SVM,3,1,0.9362,0.9364,0.9362,0.9362,0.935,0.9365,0.9357,0.9396,0.9333,"{""1"": 25429, ""0"": 30905}","{""1"": 30905, ""0"": 30905}",701.94
2026-06-08 10:06:51,random_search,80/10/10,SVM,3,2,0.9399,0.9401,0.9399,0.9399,0.9388,0.9401,0.9394,0.9425,0.9377,"{""0"": 30905, ""1"": 25429}","{""0"": 30905, ""1"": 30905}",667.89
2026-06-08 10:17:37,random_search,80/10/10,SVM,3,3,0.939,0.9394,0.939,0.9391,0.9378,0.9396,0.9386,0.9453,0.9339,"{""1"": 25430, ""0"": 30904}","{""1"": 30904, ""0"": 30904}",646.04
2026-06-08 10:44:53,random_search,80/10/10,SVM,4,1,0.9321,0.9324,0.9321,0.9321,0.9309,0.9325,0.9316,0.9364,0.9286,"{""1"": 25429, ""0"": 30905}","{""1"": 30905, ""0"": 30905}",519.05
2026-06-08 10:53:30,random_search,80/10/10,SVM,4,2,0.9359,0.9363,0.9359,0.936,0.9347,0.9364,0.9354,0.9416,0.9312,"{""0"": 30905, ""1"": 25429}","{""0"": 30905, ""1"": 30905}",517.16
2026-06-08 11:02:05,random_search,80/10/10,SVM,4,3,0.9345,0.9349,0.9345,0.9346,0.9333,0.935,0.934,0.9402,0.9298,"{""1"": 25430, ""0"": 30904}","{""1"": 30904, ""0"": 30904}",514.25
2026-06-08 11:27:59,random_search,80/10/10,SVM,5,1,0.9374,0.9376,0.9374,0.9374,0.9363,0.9376,0.9369,0.9396,0.9355,"{""1"": 25429, ""0"": 30905}","{""1"": 30905, ""0"": 30905}",643.2
2026-06-08 11:39:01,random_search,80/10/10,SVM,5,2,0.9431,0.9433,0.9431,0.9431,0.942,0.9434,0.9426,0.9466,0.9402,"{""0"": 30905, ""1"": 25429}","{""0"": 30905, ""1"": 30905}",662.46
2026-06-08 11:50:50,random_search,80/10/10,SVM,5,3,0.9409,0.9411,0.9409,0.9409,0.9398,0.9412,0.9404,0.9445,0.9379,"{""1"": 25430, ""0"": 30904}","{""1"": 30904, ""0"": 30904}",708.89
2026-06-08 12:17:57,random_search,80/10/10,SVM,6,1,0.9214,0.9218,0.9214,0.9214,0.9201,0.9217,0.9208,0.9256,0.9179,"{""1"": 25429, ""0"": 30905}","{""1"": 30905, ""0"": 30905}",511.8
2026-06-08 12:26:00,random_search,80/10/10,SVM,6,2,0.9223,0.9228,0.9223,0.9224,0.9209,0.9229,0.9217,0.929,0.9168,"{""0"": 30905, ""1"": 25429}","{""0"": 30905, ""1"": 30905}",483.39
2026-06-08 12:33:56,random_search,80/10/10,SVM,6,3,0.9236,0.9241,0.9236,0.9237,0.9223,0.9242,0.9231,0.93,0.9183,"{""1"": 25430, ""0"": 30904}","{""1"": 30904, ""0"": 30904}",476.08
2026-06-08 12:57:04,random_search,80/10/10,SVM,7,1,0.9364,0.9368,0.9364,0.9364,0.9352,0.9369,0.9359,0.9427,0.9311,"{""1"": 25429, ""0"": 30905}","{""1"": 30905, ""0"": 30905}",564.86
