split,model,timestamp,search_type,config_id,tfidf_max_features,tfidf_min_df,tfidf_ngram_range,tfidf_sublinear_tf,tfidf_stop_words,chi2_k,rfe_n_features,clf_n_estimators,clf_max_depth,clf_min_samples_split,clf_min_samples_leaf,clf_max_features,clf_bootstrap,clf_C,clf_kernel,clf_gamma,clf_class_weight,use_smote,cv_accuracy_mean,cv_accuracy_std,cv_f1_weighted_mean,cv_f1_weighted_std,cv_f1_macro_mean,cv_f1_macro_std,cv_scam_recall_mean,cv_scam_recall_std,cv_nonscam_recall_mean,cv_nonscam_recall_std,test_accuracy,test_precision_weighted,test_recall_weighted,test_f1_weighted,test_precision_macro,test_recall_macro,test_f1_macro,test_scam_recall,test_nonscam_recall,before_smote_full_train,after_smote_full_train,time_sec,status
80/10/10,RandomForest,2026-06-08 07:58:09,random_search,8,1200,5,"(1, 2)",True,custom,1200,400,200.0,30.0,10.0,1.0,sqrt,True,,,,,True,0.9627,0.0028,0.9627,0.0028,0.9623,0.0029,0.9546,0.0041,0.9694,0.0028,0.9634,0.9634,0.9634,0.9634,0.9631,0.9629,0.963,0.9585,0.9674,"{""1"": 38144, ""0"": 46357}","{""1"": 46357, ""0"": 46357}",560.53,completed
70/15/15,RandomForest,2026-06-08 14:41:10,random_search,8,1200,5,"(1, 2)",True,custom,1200,400,200.0,30.0,10.0,1.0,sqrt,True,,,,,True,0.961,0.0005,0.9609,0.0005,0.9606,0.0005,0.9545,0.0039,0.9663,0.0027,0.9612,0.9612,0.9612,0.9612,0.961,0.9606,0.9608,0.9543,0.9669,"{""1"": 33376, ""0"": 40562}","{""1"": 40562, ""0"": 40562}",351.94,completed
80/10/10,SVM,2026-06-08 12:09:25,random_search,5,2500,5,"(1, 2)",True,custom,700,400,,,,,,,0.3,linear,scale,,True,0.9405,0.0029,0.9405,0.0029,0.94,0.0029,0.9436,0.0036,0.9379,0.0024,0.9389,0.9391,0.9389,0.939,0.9379,0.939,0.9384,0.94,0.9381,"{""1"": 38144, ""0"": 46357}","{""1"": 46357, ""0"": 46357}",3129.14,completed
70/15/15,SVM,2026-06-08 17:57:51,random_search,5,2500,5,"(1, 2)",True,custom,700,400,,,,,,,0.3,linear,scale,,True,0.9401,0.0024,0.9402,0.0024,0.9397,0.0024,0.9424,0.0037,0.9383,0.004,0.9368,0.9369,0.9368,0.9368,0.9358,0.9367,0.9362,0.9361,0.9373,"{""1"": 33376, ""0"": 40562}","{""1"": 40562, ""0"": 40562}",2392.06,completed
