timestamp,search_type,split,model,config_id,fold,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,scam_recall,nonscam_recall,time_sec
2026-06-12 05:42:31,random_search,80/10/10,CNN,8,3,0.9721,0.9721,0.9721,0.9721,0.9721,0.9715,0.9718,0.9653,0.9777,119.55
2026-06-12 05:42:58,random_search,80/10/10,CNN,8,1,0.9753,0.9753,0.9753,0.9753,0.9752,0.975,0.9751,0.9716,0.9784,120.7
2026-06-12 05:43:45,random_search,80/10/10,CNN,8,3,0.9735,0.9735,0.9735,0.9735,0.9734,0.9731,0.9732,0.9688,0.9774,136.87
2026-06-12 05:45:02,random_search,80/10/10,CNN,8,2,0.9723,0.9723,0.9723,0.9723,0.9724,0.9717,0.9721,0.9656,0.9779,123.52
2026-06-12 05:46:01,random_search,80/10/10,MLP,1,1,0.9698,0.9698,0.9698,0.9698,0.9694,0.9696,0.9695,0.9676,0.9716,60.28
2026-06-12 05:46:35,random_search,80/10/10,CNN,8,3,0.9721,0.9721,0.9721,0.9721,0.9721,0.9715,0.9718,0.9653,0.9777,93.79
2026-06-12 05:46:39,random_search,80/10/10,MLP,1,2,0.9688,0.9687,0.9688,0.9687,0.9687,0.9681,0.9684,0.962,0.9743,37.96
2026-06-12 05:46:47,random_search,80/10/10,MLP,1,1,0.9702,0.9702,0.9702,0.9702,0.9699,0.9699,0.9699,0.9669,0.9728,38.6
2026-06-12 05:47:21,random_search,80/10/10,MLP,1,3,0.9672,0.9673,0.9672,0.9672,0.9665,0.9674,0.9669,0.9698,0.9651,42.4
2026-06-12 05:47:28,random_search,80/10/10,MLP,1,2,0.967,0.967,0.967,0.967,0.9667,0.9668,0.9667,0.9637,0.9698,41.69
2026-06-12 05:48:12,random_search,80/10/10,MLP,1,3,0.9686,0.9686,0.9686,0.9686,0.9684,0.9683,0.9683,0.9651,0.9715,44.14
2026-06-12 05:48:51,random_search,80/10/10,MLP,1,1,0.9698,0.9698,0.9698,0.9698,0.9694,0.9696,0.9695,0.9676,0.9716,37.21
2026-06-12 05:49:42,random_search,80/10/10,MLP,1,2,0.9688,0.9687,0.9688,0.9687,0.9687,0.9681,0.9684,0.962,0.9743,51.22
2026-06-12 05:50:43,random_search,80/10/10,MLP,1,3,0.9672,0.9673,0.9672,0.9672,0.9665,0.9674,0.9669,0.9698,0.9651,61.37
2026-06-12 05:51:19,random_search,80/10/10,MLP,2,1,0.9749,0.9751,0.9749,0.9749,0.9742,0.9754,0.9747,0.9799,0.9708,172.27
2026-06-12 05:52:10,random_search,80/10/10,MLP,2,1,0.9756,0.9756,0.9756,0.9756,0.9753,0.9754,0.9753,0.9733,0.9774,176.21
2026-06-12 05:54:39,random_search,80/10/10,MLP,2,2,0.9748,0.9748,0.9748,0.9748,0.9746,0.9745,0.9745,0.9718,0.9772,199.51
2026-06-12 05:55:43,random_search,80/10/10,MLP,2,2,0.9748,0.9748,0.9748,0.9748,0.9747,0.9743,0.9745,0.9696,0.979,212.35
2026-06-12 05:57:12,random_search,80/10/10,MLP,2,1,0.9749,0.9751,0.9749,0.9749,0.9742,0.9754,0.9747,0.9799,0.9708,258.66
2026-06-12 05:58:13,random_search,80/10/10,MLP,2,3,0.9741,0.9742,0.9741,0.9742,0.9736,0.9742,0.9739,0.9752,0.9733,214.15
2026-06-12 05:59:12,random_search,80/10/10,MLP,2,3,0.9737,0.9738,0.9737,0.9737,0.9732,0.9738,0.9735,0.9742,0.9733,209.64
2026-06-12 06:01:40,random_search,80/10/10,MLP,2,2,0.9748,0.9748,0.9748,0.9748,0.9746,0.9745,0.9745,0.9718,0.9772,268.06
2026-06-12 06:04:51,random_search,80/10/10,MLP,2,3,0.9741,0.9742,0.9741,0.9742,0.9736,0.9742,0.9739,0.9752,0.9733,191.34
2026-06-12 06:04:51,random_search,80/10/10,MLP,3,1,0.9707,0.9707,0.9707,0.9707,0.9701,0.9708,0.9704,0.972,0.9696,89.93
2026-06-12 06:05:09,random_search,80/10/10,MLP,3,1,0.9702,0.9703,0.9702,0.9702,0.9694,0.9706,0.97,0.9745,0.9667,54.46
2026-06-12 06:06:04,random_search,80/10/10,MLP,3,2,0.9683,0.9683,0.9683,0.9683,0.9681,0.9678,0.968,0.9629,0.9727,72.55
2026-06-12 06:06:11,random_search,80/10/10,MLP,3,2,0.9671,0.9671,0.9671,0.9671,0.9671,0.9664,0.9667,0.9591,0.9737,61.64
2026-06-12 06:07:16,random_search,80/10/10,MLP,3,3,0.9683,0.9683,0.9683,0.9683,0.9675,0.9685,0.968,0.971,0.966,65.65
2026-06-12 06:07:20,random_search,80/10/10,MLP,3,3,0.9707,0.9707,0.9707,0.9707,0.9705,0.9702,0.9704,0.9657,0.9748,76.21
2026-06-12 06:08:09,random_search,80/10/10,MLP,3,1,0.9707,0.9707,0.9707,0.9707,0.9701,0.9708,0.9704,0.972,0.9696,38.33
2026-06-12 06:08:42,random_search,80/10/10,MLP,4,1,0.9681,0.9682,0.9681,0.9681,0.9673,0.9684,0.9678,0.972,0.9649,35.17
2026-06-12 06:08:44,random_search,80/10/10,MLP,3,2,0.9683,0.9683,0.9683,0.9683,0.9681,0.9678,0.968,0.9629,0.9727,34.41
2026-06-12 06:08:45,random_search,80/10/10,MLP,4,1,0.9683,0.9683,0.9683,0.9683,0.9677,0.9683,0.968,0.9688,0.9678,34.92
2026-06-12 06:09:17,random_search,80/10/10,MLP,4,2,0.9674,0.9674,0.9674,0.9674,0.9676,0.9667,0.9671,0.9588,0.9745,34.48
2026-06-12 06:09:19,random_search,80/10/10,MLP,3,3,0.9707,0.9707,0.9707,0.9707,0.9705,0.9702,0.9704,0.9657,0.9748,34.83
2026-06-12 06:09:21,random_search,80/10/10,MLP,4,2,0.9695,0.9695,0.9695,0.9695,0.9696,0.9689,0.9692,0.962,0.9757,35.79
2026-06-12 06:09:50,random_search,80/10/10,MLP,4,3,0.9678,0.9678,0.9678,0.9678,0.9675,0.9676,0.9675,0.9651,0.97,32.88
2026-06-12 06:09:57,random_search,80/10/10,MLP,4,3,0.9674,0.9674,0.9674,0.9674,0.9673,0.9668,0.967,0.9613,0.9724,35.62
2026-06-12 06:10:42,random_search,80/10/10,MLP,4,1,0.9683,0.9683,0.9683,0.9683,0.9677,0.9683,0.968,0.9688,0.9678,39.9
2026-06-12 06:11:11,random_search,80/10/10,MLP,5,1,0.9716,0.9716,0.9716,0.9716,0.971,0.9716,0.9713,0.9718,0.9714,39.33
2026-06-12 06:11:17,random_search,80/10/10,MLP,5,1,0.9702,0.9702,0.9702,0.9702,0.9695,0.9704,0.9699,0.9726,0.9682,38.38
2026-06-12 06:11:20,random_search,80/10/10,MLP,4,2,0.9695,0.9695,0.9695,0.9695,0.9696,0.9689,0.9692,0.962,0.9757,37.07
